Codi,Nom,Codi comarca,Nom comarca,UTM X,UTM Y,Longitud,Latitud
250019,Abella de la Conca,25,Pallars Jussà,342356.4132,4669446.456,1.091706045,42.1612871
080018,Abrera,11,Baix Llobregat,408399.9631,4596650.842,1.902237925,41.5162579
250024,Àger,23,Noguera,314774.2392,4652108.639,0.763537783,41.99921535
250030,Agramunt,38,Urgell,342006.097,4627871.394,1.098635444,41.78696984
080023,Aguilar de Segarra,07,Bages,386156.1188,4621696.05,1.630963223,41.73892913
170010,Agullana,02,Alt Empordà,487356.821,4693545.394,2.846385617,42.39409786
080142,Aiguafreda,41,Vallès Oriental,437612.1891,4624388.539,2.249396729,41.76888504
430017,Aiguamúrcia,01,Alt Camp,363055.7551,4578521.158,1.363104482,41.34655112
170025,Aiguaviva,20,Gironès,480301.4259,4642929.369,2.762375415,41.93808642
250387,Aitona,33,Segrià,287893.5222,4596783.178,0.458983454,41.49461039
250045,"Alamús, els",33,Segrià,311583.6606,4609580.18,0.738550669,41.61570667
250058,Alàs i Cerc,04,Alt Urgell,377131.6224,4689896.224,1.508172662,42.35162992
250061,"Albagés, l'",18,Garrigues,311155.7699,4591046.571,0.739237187,41.44879641
170031,Albanyà,02,Alt Empordà,476930.9321,4683650.721,2.720108023,42.30474663
250077,Albatàrrec,33,Segrià,300355.8601,4605146.675,0.605376149,41.57307862
250083,Albesa,23,Noguera,305403.2773,4624746.558,0.659485934,41.75071608
250096,"Albi, l'",18,Garrigues,327528.3966,4587803.459,0.936040777,41.42328726
430022,Albinyana,12,Baix Penedès,373157.6843,4567130.064,1.486184747,41.24563253
430038,"Albiol, l'",08,Baix Camp,339944.7266,4568502.908,1.089629618,41.25209985
170046,Albons,10,Baix Empordà,507044.6072,4661354.194,3.085200894,42.10424634
430043,Alcanar,22,Montsià,286762.4333,4491059.459,0.481966932,40.5428638
250100,Alcanó,33,Segrià,301053.3901,4594834.703,0.617145104,41.48044892
250117,Alcarràs,33,Segrià,293564.9227,4604204.306,0.524318402,41.56287362
250122,Alcoletge,33,Segrià,307985.9327,4613153.63,0.694256215,41.6470102
430056,Alcover,01,Alt Camp,346720.5084,4569526.847,1.170205538,41.26263186
439044,"Aldea, l'",09,Baix Ebre,299087.7533,4513273.673,0.620293809,40.74589422
430069,Aldover,09,Baix Ebre,289355.2609,4528421.64,0.500003865,40.87979172
430075,"Aleixar, l'",08,Baix Camp,336175.0031,4562981.828,1.046140895,41.20164042
080039,Alella,21,Maresme,441165.0786,4593820.13,2.295144857,41.49384008
430081,Alfara de Carles,09,Baix Ebre,280930.2447,4527996.703,0.400259187,40.87375777
250138,Alfarràs,33,Segrià,298183.1028,4633756.316,0.56965673,41.82999269
250143,Alfés,33,Segrià,301361.8959,4599378.463,0.619339111,41.52141772
430094,Alforja,08,Baix Camp,330255.5948,4564096.385,0.975275129,41.21045485
250156,Algerri,23,Noguera,303856.0692,4632021.69,0.638489583,41.81580709
250169,Alguaire,33,Segrià,299059.892,4623307.148,0.583741122,41.73618377
250175,Alins,26,Pallars Sobirà,361956.7358,4712071.436,1.318664825,42.54870829
430108,Alió,01,Alt Camp,358200.0331,4572902.978,1.306398395,41.29512621
250194,Almacelles,33,Segrià,286818.2641,4623150.087,0.436732426,41.73158197
250208,Almatret,33,Segrià,284313.6132,4575880.752,0.42358212,41.30556557
250215,Almenar,33,Segrià,297893.284,4630216.604,0.567375973,41.79806557
430115,Almoster,08,Baix Camp,341802.7993,4562463.522,1.113359413,41.1980931
250220,Alòs de Balaguer,23,Noguera,330861.1877,4642082.501,0.960531325,41.91258932
170062,Alp,15,Cerdanya,408406.6855,4691845.99,1.887513138,42.37349819
080044,Alpens,24,Osona,425697.5767,4663408.728,2.101142098,42.11926142
250236,Alpicat,33,Segrià,296455.9333,4615621.721,0.55507915,41.66636078
250241,Alt Àneu,26,Pallars Sobirà,344918.7715,4721903.568,1.108575263,42.63397364
430120,Altafulla,36,Tarragonès,363786.0191,4555820.481,1.376896997,41.14227297
170078,Amer,34,Selva,467144.4655,4650866.481,2.603222047,42.00913383
430136,"Ametlla de Mar, l'",09,Baix Ebre,314944.5393,4528341.071,0.803501688,40.88524846
080057,"Ametlla del Vallès, l'",41,Vallès Oriental,438525.1365,4613333.639,2.261520529,41.66939188
439060,"Ampolla, l'",09,Baix Ebre,307226.2297,4520646.492,0.714340607,40.8142068
430141,Amposta,22,Montsià,295671.307,4509762.73,0.581007048,40.71345238
170084,Anglès,34,Selva,469981.4259,4645045.45,2.637779014,41.95681994
250273,Anglesola,38,Urgell,340258.6552,4613694.269,1.081418917,41.65899697
250292,Arbeca,18,Garrigues,326919.8702,4601032.467,0.924966081,41.54223831
430167,"Arboç, l'",12,Baix Penedès,383035.5149,4569393.279,1.603603923,41.26750259
430154,Arbolí,08,Baix Camp,328105.6188,4567646.406,0.948646721,41.24195886
170097,Arbúcies,34,Selva,459614.461,4629461.982,2.513754625,41.81600431
080060,Arenys de Mar,21,Maresme,462623.081,4603191.138,2.551624094,41.57953396
080076,Arenys de Munt,21,Maresme,461603.122,4606684.454,2.53916522,41.61094994
170101,Argelaguer,19,Garrotxa,470425.6426,4673532.491,2.641698357,42.21340121
080082,Argençola,06,Anoia,370337.9773,4606261.146,1.444155159,41.59753198
430173,"Argentera, l'",08,Baix Camp,324530.5255,4556096.416,0.909320776,41.1372189
080095,Argentona,21,Maresme,450008.1375,4600615.296,2.400515899,41.55564404
170118,"Armentera, l'",02,Alt Empordà,505989.6617,4668750.214,3.072517841,42.17086694
430189,Arnes,37,Terra Alta,269280.2601,4532396.798,0.260519691,40.91015257
250313,Arres,39,Aran,312695.873,4736146.785,0.711147895,42.75497977
250328,Arsèguel,04,Alt Urgell,383281.6294,4689621.177,1.582876907,42.35010072
080109,Artés,07,Bages,413171.2076,4627891.855,1.95486944,41.79813699
250334,Artesa de Lleida,33,Segrià,308465.3458,4602555.57,0.703394598,41.55174258
250349,Artesa de Segre,23,Noguera,337862.6179,4640014.073,1.045473965,41.89543837
430192,Ascó,30,Ribera d'Ebre,295942.5233,4561692.642,0.567111344,41.18090134
250365,Aspa,33,Segrià,305705.8022,4596396.621,0.672320658,41.49564683
250371,"Avellanes i Santa Linya, les",23,Noguera,314573.3081,4641990.877,0.764299568,41.90810962
080116,Avià,14,Berguedà,402819.428,4659024.982,1.82515717,42.07728596
080121,Avinyó,07,Bages,414578.2644,4635119.855,1.970760811,41.86338143
170123,Avinyonet de Puigventós,02,Alt Empordà,493008.7075,4677467.326,2.915250376,42.2493678
080137,Avinyonet del Penedès,03,Alt Penedès,397904.8169,4579548.895,1.779376543,41.36097714
080155,Badalona,13,Barcelonès,437170.1396,4588989.202,2.247791638,41.45002603
089045,Badia del Vallès,40,Vallès Occidental,426053.9829,4595645.707,2.113905197,41.50903011
080168,Bagà,14,Berguedà,406176.5492,4678477.049,1.86260099,42.25285297
250390,Baix Pallars,26,Pallars Sobirà,340506.5476,4687521.499,1.064357054,42.32360869
250404,Balaguer,23,Noguera,317578.8285,4628758.98,0.804588928,41.78971866
080174,Balenyà,24,Osona,436477.1764,4629560.22,2.235188771,41.81537217
080180,Balsareny,07,Bages,406781.2532,4635198.914,1.876819518,41.86321312
430206,Banyeres del Penedès,12,Baix Penedès,381146.9226,4570741.333,1.580800344,41.27936622
170157,Banyoles,28,Pla de l'Estany,480473.8957,4662727.006,2.763796776,42.11639909
250411,Barbens,27,Pla d'Urgell,335060.2261,4616058.335,1.018365545,41.67921889
430213,Barberà de la Conca,16,Conca de Barberà,351852.206,4585879.601,1.227449026,41.41081942
082520,Barberà del Vallès,40,Vallès Occidental,426959.8889,4596387.751,2.124669407,41.51579636
